CLAVE EDO,Clave del Actor,No ID ATRI,Edad,Superficie,InAI,Rendimiento,Autoconsumo,Clientes,nRadiality,Capitales Num,Capitales
CAM,CAMER009,1,43,5,0.25,4,10,1,0.388,4,Apego y enlace
CAM,CAMER010,2,43,5,0.25,4,10,1,0.388,4,Apego y enlace
CAM,CAMER014,3,51,2,0.166666667,4,10,1,0.388,4,Apego y enlace
CAM,CAMER033,4,46,5,0.083333333,3.5,10,1,0.194,2,Enlace
CAM,CAMER043,5,56,5,0.25,4,10,0,0.581,4,Apego y enlace
CAM,CAMER044,6,59,3,0.166666667,3.5,10,1,0.388,6,Enlace e interface
CAM,CAMER046,7,66,5,0.166666667,3,15,1,0.581,6,Enlace e interface
CAM,CAMER050,8,56,3,0.166666667,3.5,18,1,0.581,6,Enlace e interface
CAM,CAMER051,9,69,1,0.166666667,3,100,1,0.581,6,Enlace e interface
CAM,CAMER052,10,63,4,0.166666667,3.5,15,1,0.581,6,Enlace e interface
CAM,CAMER053,11,68,3,0.166666667,3,0,1,0.581,6,Enlace e interface
CAM,CAMER054,12,72,2,0.166666667,3,10,1,0.581,6,Enlace e interface
CAM,CAMER056,13,84,1,0.166666667,2.7,100,0,0.581,6,Enlace e interface
CAM,CAMER057,14,54,1,0.166666667,3,100,0,0.581,6,Enlace e interface
CAM,CAMER058,15,62,5,0.166666667,3.5,10,1,0.581,6,Enlace e interface
CAM,CAMER059,16,52,3,0.166666667,3,0,1,0.581,6,Enlace e interface
CAM,CAMER061,17,63,1,0.333333333,4.5,0,1,0.581,7,"Apego, enlace e interface"
CAM,CAMER063,18,51,3,0.166666667,3,0,1,0.581,6,Enlace e interface
CAM,CAMER066,19,52,5,0.333333333,3,100,0,0.775,7,"Apego, enlace e interface"
CAM,CAMER068,20,63,1,0.166666667,3.5,100,0,0.581,6,Enlace e interface
CAM,CAMER071,21,54,1.5,0.166666667,2.5,100,0,0.581,6,Enlace e interface
CAM,CAMER073,22,59,2,0.25,4,15,1,0.581,6,Enlace e interface
CAM,CAMER074,23,59,3,0.166666667,3.5,20,1,0.388,6,Enlace e interface
CAM,CAMER076,24,65,2,0.166666667,3.5,0,1,0.388,6,Enlace e interface
CAM,CAMER077,25,56,2,0.166666667,4,10,1,0.581,6,Enlace e interface
CAM,CAMER079,26,78,2.5,0.166666667,3.5,0,1,0.388,6,Enlace e interface
CAM,CAMER080,27,66,2,0.25,1,100,0,0.388,6,Enlace e interface
