ID,Clave_actor,Apego,Enlace,Interface,Formas_Capitales,EDO,Agricultura_contrato_18,Análisis_suelo_18,Análisis_foliar_18,Asociación_cultivos_18,Azufre_18,Biofertilizantes_18,Bioinsecticidas_18,Cal_micronizada_18,Camas_permanentes_18,Certificación_productos_18,Composta_18,Control_biológico_18,Criollos_mejorados_18,Cultivos_cobertura_18,Desgranadora_18,Desvare_18,Estudio_mercado_18,Feromonas_18,Fertilización_18,Greenseeker_18,Insectos_benéficos_18,Maíz_hibrídos_MasAgro_18,Maíz_mejorado_MasAgro_18,Maíz_polinización_abierta_18,Mejoradores_suelo_18,Micorrizas_18,Micronutrientes_18,Monitoreo_plagas_18,Nivelación_suelos_18,Poscosecha_18,Rastra_18,Rastrojo_18,Secadora_18,Semillas_mejoradas_diversas_18,Siembra_directa_18,Subsoleo_18,Trampas_colores_18,Tratamiento_semillas_18,Riego_goteo_18
1,CAMER009,2,1,0,4,CAM,,,,,,,,,,,,,,,,,,ER336,,,,,,,,,,,,ER336,,,,PI002,,,,,
2,CAMER010,2,1,0,4,CAM,,,,,,,,,,,,,,,,,,ER336,,,,,,,,,,,,ER336,,,,PI002,,,,,
3,CAMER014,1,1,0,4,CAM,,,,,,,,,,,,,,,,,,,ER014,,,PI002,,,,,,,,,,,,,,,,,
4,CAMER033,0,1,0,2,CAM,,,,,,,,,,,,,,,,,,,,,,PI003,,,,,,,,,,,,,,,,,
5,CAMER043,1,2,0,4,CAM,,,,,,,,,,,,,,,,,PI002,ER336,PI035,,,,,,,,,,,,,,,,,,,,
6,CAMER044,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG003,,,,,,,,,,,PSP007,,,,,,,,,
7,CAMER046,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
8,CAMER050,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG001,,,,,,,,,,,PSP007,,,,,,,,,
9,CAMER051,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG001,,,,,,,,,,,PSP007,,,,,,,,,
10,CAMER052,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG001,,,,,,,,,,,PSP007,,,,,,,,,
11,CAMER053,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
12,CAMER054,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG001,,,,,,,,,,,PSP007,,,,,,,,,
13,CAMER056,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG001,,,,,,,,,,,PSP007,,,,,,,,,
14,CAMER057,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
15,CAMER058,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
16,CAMER059,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
17,CAMER061,1,2,1,7,CAM,,,,,,,,,,,,,,,,,,PSP007,IG003,,,,,,,,,,,PSP007,,,,,ERe001,,,,
18,CAMER063,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
19,CAMER066,1,2,1,7,CAM,,,,,,,,,,,,,,,,,,PSP007,IG002,,,,,,,,,,,PSP007,,,,,ER061,,,,
20,CAMER068,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
21,CAMER071,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
22,CAMER073,0,1,2,6,CAM,,IG002,,,,,,,,,,,,,,,,,IG003,,,,,,,,,,,PSP007,,,,,,,,,
23,CAMER074,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
24,CAMER076,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
25,CAMER077,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
26,CAMER079,0,1,1,6,CAM,,,,,,,,,,,,,,,,,,,IG002,,,,,,,,,,,PSP007,,,,,,,,,
